ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/kalawatis-women-fit-flare-white-dress/p/itm6478c4027b2f1?pid=DREGG5ZWEMGC4GSS&lid=LSTDREGG5ZWEMGC4GSSOYLMNR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_1&otracker=browse&fm=organic&iid=en_rku7h9GRtb%2FK8nqva1dotzlyMGaXjHmXKocfnCp9%2F8RF1lth2YxuSSeyogiBB1DT4JM4jMS%2FwmQIBUJLRM3KEA%3D%3D&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,kalawatis ,Women Fit and Flare White Dress,₹399,"₹1,299",4,4,0,[]
1,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_rku7h9GRtb%2FK8nqva1dotzlyMGaXjHmXKocfnCp9%2F8SOxBGOGqgqmDpZp6UXc2GHeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,IQRAAR ,Women Fit and Flare Purple Dress,₹436,"₹1,199",4.3,20596,2761,"['It was an awesome dress . I loved it', 'Very nice product , good quality , beautiful dress , recommend', 'So good']"
2,http://flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itmfbz6zajmnsthr?pid=DREFBYMF96XFYZBJ&lid=LSTDREFBYMF96XFYZBJUGRSL8&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_3&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREFBYMF96XFYZBJ.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,AAYU ,Women Fit and Flare Multicolor Dress,₹436,"₹1,099",4,106335,15304,"['So comfortable dress in  pregnancy time....', 'Very decent look❤️', 'Perfect 👍😊']"
3,http://flipkart.com/sheetal-associates-women-wrap-pink-dress/p/itmde841fb7c1f91?pid=DREGACDFHNXP36XX&lid=LSTDREGACDFHNXP36XXEANDXF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_4&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGACDFHNXP36XX.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Sheetal Associates ,Women Wrap Pink Dress,₹399,"₹1,999",4.2,9636,1124,"[""It's absolutely stunning 🥰"", 'This dress is amezing!! Just go for it🔥💯', 'Gorgeous 😍😍😍']"
4,http://flipkart.com/purshottam-wala-women-maxi-black-dress/p/itmd1036842af9e2?pid=DREG62QVKAJQKCFW&lid=LSTDREG62QVKAJQKCFWOQWTFN&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREG62QVKAJQKCFW.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Purshottam Wala ,Women Maxi Black Dress,₹409,"₹1,799",4.2,12918,1512,"['Awsm n comfortable', '🌝👌🏻 beautiful', ""I'm really satisfied with this dress ... I'm obsessed 😍I would highly recommend you to boy this dress... ❤️🔥""]"
5,http://flipkart.com/libas-women-ethnic-dress-green/p/itm83b3fe82318dd?pid=KTAFUHV7HYKURQH8&lid=LSTKTAFUHV7HYKURQH82BT5KP&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_6&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.KTAFUHV7HYKURQH8.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,LIBAS ,Women Ethnic Dress Green Dress,₹679,"₹1,699",4.3,2533,276,"['Wonderful piece of cloth', 'Very nice dress... Happy with the product ❤️', ""Really nice kurti.. worth buying.. it's beautiful ❤️""]"
6,http://flipkart.com/sheetal-associates-women-bodycon-black-dress/p/itmf435f32b08493?pid=DREGBD3CPMMV5VKY&lid=LSTDREGBD3CPMMV5VKYJTV9RD&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGBD3CPMMV5VKY.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Sheetal Associates ,Women Bodycon Black Dress,₹419,"₹1,999",4,7476,905,"['Superb dress❤️❤️❤️❤️', 'Good product', 'Just lit 💜i loved it']"
7,http://flipkart.com/sheetal-associates-women-bodycon-pink-dress/p/itmf51b1dbeb27da?pid=DREGCEK4Z64NXUHF&lid=LSTDREGCEK4Z64NXUHFRIS4I4&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=en_rku7h9GRtb%2FK8nqva1dotzlyMGaXjHmXKocfnCp9%2F8QXp6WQX9WSsfQc2otAamToPATvMzm5FJu1l8BNUFndaw%3D%3D&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Sheetal Associates ,Women Bodycon Pink Dress,₹449,"₹1,999",3,22,6,"['Just wow 😍go for it... ❣️💕', 'Fabric is too harsh', 'Not comfortable']"
8,http://flipkart.com/selvia-women-sheath-purple-dress/p/itm2fb61dc726593?pid=DREGABBRCU35PAPW&lid=LSTDREGABBRCU35PAPWJAA372&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_9&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGABBRCU35PAPW.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Selvia ,Women Sheath Purple Dress,₹399,"₹1,997",4.3,4268,549,"['Awesome outfit at this price ☺️🤩', 'It’s amazing', 'Nice dress..!! 😍']"
9,http://flipkart.com/selvia-women-sheath-beige-dress/p/itm4b08c14c82888?pid=DREGCF8EZQGRTDAE&lid=LSTDREGCF8EZQGRTDAEO9CILP&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_10&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGCF8EZQGRTDAE.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,Selvia ,Women Sheath Beige Dress,₹699,"₹2,497",4.1,1029,133,"['Nice', 'Very nice product.... please go for it 🥰❣️Absolutely Lovely dress😍😍', 'It’s so pretty']"
