,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
2,http://flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itmfbz6zajmnsthr?pid=DREFBYMF96XFYZBJ&lid=LSTDREFBYMF96XFYZBJUGRSL8&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_3&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREFBYMF96XFYZBJ.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,2,Women Fit and Flare Multicolor Dress,4,106335,15304,so comfortable dress in  pregnancy time very decent look❤️ perfect 👍😊,1.8009,0.2539329522
173,http://flipkart.com/kannan-women-maxi-multicolor-dress/p/itmffz9mr7zsftg4?pid=DREFFWUHMJYGMUSC&lid=LSTDREFFWUHMJYGMUSCT5DLSN&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_190&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFFWUHMJYGMUSC.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,173,Women Maxi Multicolor Dress,3.8,35444,6065,in love wid thz product😍 perfect one ok ok product 🙂 im satisfied,3.0844,0.1095345315
17,http://flipkart.com/sheetal-associates-women-maxi-pink-dress/p/itm3f423fd6c7ca2?pid=DREGCBJHUCSTJBBS&lid=LSTDREGCBJHUCSTJBBSVHZTOX&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_20&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGCBJHUCSTJBBS.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,17,Women Maxi Pink Dress,4,39659,5395,perfect fit good product really nice one very nice,2.2165,0.0996070478
14,http://flipkart.com/daevish-women-skater-black-dress/p/itme6983dab1e838?pid=DREFXCHTHDP7FG3C&lid=LSTDREFXCHTHDP7FG3CYGLEXF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_16&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREFXCHTHDP7FG3C.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,14,Women Skater Black Dress,4.3,26746,3706,one of my bestest purchase from flipkart 👌👌 loved it more than the pic beautiful dress 👗😍😍,2.8227,0.0774417782
123,http://flipkart.com/daevish-women-a-line-black-dress/p/itm14fd040ead0c5?pid=DREFNXPYN6BDPFWW&lid=LSTDREFNXPYN6BDPFWWP7HEFR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_138&otracker=browse&fm=organic&iid=475b9e0f-e2fa-443e-9c2e-3bffb00fcde6.DREFNXPYN6BDPFWW.SEARCH&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,123,Women A-line Black Dress,4.3,27104,5092,perfect❤️🔥 nice dress such a beautiful dress,1.3391,0.0674400211
58,http://flipkart.com/dyrectdeals-women-maxi-white-maroon-black-dress/p/itm89f52f9ceaff0?pid=DREFPBGWYUNUQYEE&lid=LSTDREFPBGWYUNUQYEEBAFKGT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_66&otracker=browse&fm=organic&iid=4f187e50-412d-4000-b0b3-491b071904b8.DREFPBGWYUNUQYEE.SEARCH&ppt=None&ppn=None&ssid=ulr3gqi0ls0000001658756735101,58,"Women Maxi White, Maroon, Black Dress",4.2,26119,4114,good qualityi love this dress and than you flipkart 👍👍👍👍 nyc dress simply awesome ❤️,1.7022,0.0651843899
122,http://flipkart.com/dyrectdeals-women-maxi-green-dress/p/itm55c189ef79cd7?pid=DREFZT6SARQDXPA6&lid=LSTDREFZT6SARQDXPA67GAGKX&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_137&otracker=browse&fm=organic&iid=475b9e0f-e2fa-443e-9c2e-3bffb00fcde6.DREFZT6SARQDXPA6.SEARCH&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,122,Women Maxi Green Dress,4.2,26119,4114,good qualityi love this dress and than you flipkart 👍👍👍👍 nyc dress simply awesome ❤️,1.7022,0.0651843899
1,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_rku7h9GRtb%2FK8nqva1dotzlyMGaXjHmXKocfnCp9%2F8SOxBGOGqgqmDpZp6UXc2GHeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,1,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
37,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_41&otracker=browse&fm=organic&iid=en_eF5oaIWBewZUFTqFp6oLahmfwI6xxW2a3XAvnf7viUvRyursPCE20FVQSeAdUEoHeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=ulr3gqi0ls0000001658756735101,37,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
74,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_84&otracker=browse&fm=organic&iid=en_CPNIv7Tri7nhI1%2Fq3TgnKgeYRFTlxJyQV8BpTs26wSUkaPkW8QVP1B9Zm%2BXvycASeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,74,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
