ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/range-road-solid-women-a-line-multicolor-skirt/p/itme97f857b6f339?pid=SKIGCSVEGNTYFUAN&lid=LSTSKIGCSVEGNTYFUANAGMRGL&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_1&otracker=browse&fm=organic&iid=en_tlm01bTVb0MQukMn17A1DGU2ACxrVAO4PHGxxoirmPat2rOEGy%2BZQ9Pvc%2BovKnw1PWYVb1WKafQkX6ehpoKZng%3D%3D&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,Range Road ,Women Solid A-line Multicolor Skirt,₹374,"₹1,499",4,38,4,"['Nice quality 👍 & good colour 😍 thank you Flipkart ❤️', 'Good', 'Nice']"
1,http://flipkart.com/range-road-solid-women-a-line-multicolor-skirt/p/itm4b94edcc57f4e?pid=SKIGCSVENMQZCXCG&lid=LSTSKIGCSVENMQZCXCGQJIFWE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_2&otracker=browse&fm=organic&iid=en_tlm01bTVb0MQukMn17A1DGU2ACxrVAO4PHGxxoirmPZrFSfG8FRJ5%2Fi8zUX7q0KLhNv0qzSFHAxJxH89b8AR0Q%3D%3D&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,Range Road ,Women Solid A-line Multicolor Skirt,₹374,"₹1,499",4.1,19,1,"['Very Best Quality, Beautiful look wise..ladies go for it']"
2,http://flipkart.com/montrez-solid-women-a-line-light-blue-skirt/p/itm1fc28a9c561b9?pid=SKIGFGEQ4RW8VUJ6&lid=LSTSKIGFGEQ4RW8VUJ6F26ZT0&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_3&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFGEQ4RW8VUJ6.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,MONTREZ ,Women Solid A-line Light Blue Skirt,₹264,"₹1,499",4.1,3874,422,"['Super product. Deniem material,light blue in clour, my waist size is 30 but for this skirt choose 28  thats give u perfect fit.😁', ""Didnt meet the expectations... it was too large my size was 30 ,even though i kept 28 it was too big for me ...overall didn't really loved it but it was okay ."", 'Colour ordered dark blue,the colour cloud blue is not same at all so i ordered dark blue and its Nice product looks same ,it is just below my knees my height is 5\' 7""The material is denim and it is not very thick, fine for summers.it is very high waisted and 28 fits perfectly for 26 to 28 since it has elastic in the back.really liked it']"
3,http://flipkart.com/montrez-solid-women-a-line-blue-skirt/p/itmed33543422207?pid=SKIGFGEQ2PZAKMGG&lid=LSTSKIGFGEQ2PZAKMGGTBL863&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_4&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFGEQ2PZAKMGG.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,MONTREZ ,Women Solid A-line Blue Skirt,₹399,"₹1,499",4.1,3874,422,"['Super product. Deniem material,light blue in clour, my waist size is 30 but for this skirt choose 28  thats give u perfect fit.😁', ""Didnt meet the expectations... it was too large my size was 30 ,even though i kept 28 it was too big for me ...overall didn't really loved it but it was okay ."", 'Colour ordered dark blue,the colour cloud blue is not same at all so i ordered dark blue and its Nice product looks same ,it is just below my knees my height is 5\' 7""The material is denim and it is not very thick, fine for summers.it is very high waisted and 28 fits perfectly for 26 to 28 since it has elastic in the back.really liked it']"
4,http://flipkart.com/fkube-printed-women-pleated-pink-skirt/p/itmbc3cabd9cf8d2?pid=SKIGYZH3UB7Z3MUP&lid=LSTSKIGYZH3UB7Z3MUPX197OA&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_5&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGYZH3UB7Z3MUP.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,FKUBE ,Women Printed Pleated Pink Skirt,₹448,₹499,4.4,1349,189,"['Woow lovely osam😀', 'Good nice material', 'Loved the skirt. Satisfied with the style and price :D']"
5,http://flipkart.com/montrez-solid-women-a-line-blue-skirt/p/itmffb795787f6d0?pid=SKIGFGEQPDBMUYX7&lid=LSTSKIGFGEQPDBMUYX74EIFTZ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_6&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFGEQPDBMUYX7.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,MONTREZ ,Women Solid A-line Blue Skirt,₹399,"₹1,499",4.1,3874,422,"['Super product. Deniem material,light blue in clour, my waist size is 30 but for this skirt choose 28  thats give u perfect fit.😁', ""Didnt meet the expectations... it was too large my size was 30 ,even though i kept 28 it was too big for me ...overall didn't really loved it but it was okay ."", 'Colour ordered dark blue,the colour cloud blue is not same at all so i ordered dark blue and its Nice product looks same ,it is just below my knees my height is 5\' 7""The material is denim and it is not very thick, fine for summers.it is very high waisted and 28 fits perfectly for 26 to 28 since it has elastic in the back.really liked it']"
6,http://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itm918546888c1f2?pid=SKIGFHMYPMAR6DYH&lid=LSTSKIGFHMYPMAR6DYHPXXFVJ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_7&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFHMYPMAR6DYH.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,MONTREZ ,Women Solid Straight Dark Blue Skirt,₹399,"₹1,499",4.1,6718,655,"['I love this product small size.Thank you Flipkart ❤️', 'Very nice ♥️😍', 'Awesome fitting😍😍😍😍😍😍']"
7,http://flipkart.com/range-road-solid-women-a-line-multicolor-skirt/p/itmea60a7015b52c?pid=SKIGCSVCYQFWYKDZ&lid=LSTSKIGCSVCYQFWYKDZGLZFS8&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_8&otracker=browse&fm=organic&iid=en_tlm01bTVb0MQukMn17A1DGU2ACxrVAO4PHGxxoirmPaOv6eRiLgBpDED0WzaM5cZB46VbE2iBnIz8Hh4Zw5ajw%3D%3D&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,Range Road ,Women Solid A-line Multicolor Skirt,₹374,"₹1,499",3.5,61,5,"['Good', 'Its awesome', 'Bad quality']"
8,http://flipkart.com/tokyo-talkies-solid-women-a-line-black-skirt/p/itme6eaf7dd3cd71?pid=SKIG89HBVDCTMVAM&lid=LSTSKIG89HBVDCTMVAMUEDVEE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_9&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIG89HBVDCTMVAM.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,Tokyo Talkies ,Women Solid A-line Black Skirt,₹306,"₹1,099",3.7,375,38,"['Its just an amazing product worth for money too good awesome 😍😍😍😍😘😘😘😘😘🤗🤗🤗🤗🤗🤩🤩🤩🤩🤩', 'Nice 👍', 'Must buy.']"
9,http://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itmcb987bcf4c236?pid=SKIGFHMYBGHVDRZT&lid=LSTSKIGFHMYBGHVDRZTIDCQ8G&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_10&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFHMYBGHVDRZT.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,MONTREZ ,Women Solid Straight Dark Blue Skirt,₹299,"₹1,499",4.1,6718,655,"['I love this product small size.Thank you Flipkart ❤️', 'Very nice ♥️😍', 'Awesome fitting😍😍😍😍😍😍']"
