,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
6,http://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itm918546888c1f2?pid=SKIGFHMYPMAR6DYH&lid=LSTSKIGFHMYPMAR6DYHPXXFVJ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_7&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFHMYPMAR6DYH.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,6,Women Solid Straight Dark Blue Skirt,4.1,6718,655,i love this product small sizethank you flipkart ❤️ very nice ♥️😍 awesome fitting😍😍😍😍😍😍,3.437,0.1785363333
9,http://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itmcb987bcf4c236?pid=SKIGFHMYBGHVDRZT&lid=LSTSKIGFHMYBGHVDRZTIDCQ8G&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_10&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIGFHMYBGHVDRZT.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,9,Women Solid Straight Dark Blue Skirt,4.1,6718,655,i love this product small sizethank you flipkart ❤️ very nice ♥️😍 awesome fitting😍😍😍😍😍😍,3.437,0.1785363333
89,http://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itm3ba78ab57da3f?pid=SKIGFHMYMG8VWB8S&lid=LSTSKIGFHMYMG8VWB8SXZVN14&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_113&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIGFHMYMG8VWB8S.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,89,Women Solid Straight Dark Blue Skirt,4.1,6718,655,i love this product small sizethank you flipkart ❤️ very nice ♥️😍 awesome fitting😍😍😍😍😍😍,3.437,0.1785363333
118,http://flipkart.com/krishika-printed-women-flared-maroon-skirt/p/itmfda3283270e43?pid=SKIFT57NCPGY8WZC&lid=LSTSKIFT57NCPGY8WZCUFRSSN&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_4_150&otracker=browse&fm=organic&iid=c2e8f37a-c917-4619-a1ec-36a3b794b8a7.SKIFT57NCPGY8WZC.SEARCH&ppt=None&ppn=None&ssid=7rw6oula680000001658754631703,118,Women Printed Flared Maroon Skirt,3.9,6204,714,its very nice i liked it good quality and colour is also so pretty very nice skirt😘 i am really happy 😍 tnq u so much,3.651,0.1778207779
33,http://flipkart.com/kotty-solid-women-straight-dark-blue-skirt/p/itma18bf3ee43830?pid=SKIFU89YKFQUNE83&lid=LSTSKIFU89YKFQUNE83HTS6TC&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_40&otracker=browse&fm=organic&iid=2d939601-ec13-4558-93c7-7dbe65e7c6c7.SKIFU89YKFQUNE83.SEARCH&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,33,Women Solid Straight Dark Blue Skirt,4.2,4699,545,amazing 🥳🍭 as expected 😍😍😍thank u so much flipkart for this lovely skirt nd thanks to the delivery boy who gave me this parcel on time 👍 good quality love it 😍😍😍😍,4.8116,0.1615877249
286,http://flipkart.com/fashioncutz-printed-women-flared-pink-skirt/p/itm701c3ae7da4c5?pid=SKIFUKMJFBPFYZRZ&lid=LSTSKIFUKMJFBPFYZRZRPYZJX&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_355&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIFUKMJFBPFYZRZ.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,286,Women Printed Flared Pink Skirt,3.8,6378,850,totally satisfied with the item  must purchase ❤️❤️ fantastic🤘 🤘 awesome fabric is loved it,2.2032,0.1534895255
23,http://flipkart.com/uptownie-lite-solid-women-pleated-green-skirt/p/itmcaaf54207db18?pid=SKIFZRZ4XJ5YPW57&lid=LSTSKIFZRZ4XJ5YPW57UOYO5K&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_27&otracker=browse&fm=organic&iid=en_tlm01bTVb0MQukMn17A1DGU2ACxrVAO4PHGxxoirmPZgfUjIy6bB2BRPWME5eodiNRmifKLg5oSKJG5Jr58DRg%3D%3D&ppt=None&ppn=None&ssid=il2xkxlcsg0000001658754628910,23,Women Solid Pleated Green Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
95,http://flipkart.com/uptownie-lite-solid-women-pleated-red-skirt/p/itm9c74df2955670?pid=SKIG4SBZ3QV5ZN9D&lid=LSTSKIG4SBZ3QV5ZN9DDLHA9Z&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_4_121&otracker=browse&fm=organic&iid=c2e8f37a-c917-4619-a1ec-36a3b794b8a7.SKIG4SBZ3QV5ZN9D.SEARCH&ppt=None&ppn=None&ssid=7rw6oula680000001658754631703,95,Women Solid Pleated Red Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
136,http://flipkart.com/uptownie-lite-solid-women-pleated-grey-skirt/p/itm7fd455a88bee0?pid=SKIGFQB34SGX6TF9&lid=LSTSKIGFQB34SGX6TF94FTYX4&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_173&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIGFQB34SGX6TF9.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,136,Women Solid Pleated Grey Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
160,http://flipkart.com/uptownie-lite-solid-women-pleated-green-skirt/p/itmcaaf54207db18?pid=SKIFZRZ4XJ5YPW57&lid=LSTSKIFZRZ4XJ5YPW57UOYO5K&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_200&otracker=browse&fm=organic&iid=en_nLW7jPXUKAza001RwVLdk8QDRkBCjzh38mvEo%2FtqgvxVbhiFLr58HIYv0Ruy7VLfNRmifKLg5oSKJG5Jr58DRg%3D%3D&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,160,Women Solid Pleated Green Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
170,http://flipkart.com/uptownie-lite-solid-women-pleated-green-skirt/p/itmcaaf54207db18?pid=SKIFZRZ4XJ5YPW57&lid=LSTSKIFZRZ4XJ5YPW57UOYO5K&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_212&otracker=browse&fm=organic&iid=en_qKYRbzzehWsrRZCioWJKBi9Uz8id1UlzuSAJF52V46VHjvqdZy3HpxGQR5Ft%2FyIlvnvFUjjPwfQFKiElY1PAFQ%3D%3D&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,170,Women Solid Pleated Green Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
203,http://flipkart.com/uptownie-lite-solid-women-pleated-green-skirt/p/itmcaaf54207db18?pid=SKIFZRZ4XJ5YPW57&lid=LSTSKIFZRZ4XJ5YPW57UOYO5K&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_7_252&otracker=browse&fm=organic&iid=en_t4B86JnTbqupoCSKrIY1DEsnVNooQGhRrIBmRvKj2kXevdfqoemAoUWZCmWpvHuYvnvFUjjPwfQFKiElY1PAFQ%3D%3D&ppt=None&ppn=None&ssid=utbx982ig00000001658754634852,203,Women Solid Pleated Green Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
217,http://flipkart.com/uptownie-lite-solid-women-pleated-yellow-skirt/p/itmf9617f0a6c506?pid=SKIG2QZVEMNR44YX&lid=LSTSKIG2QZVEMNR44YXFRGDSD&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_7_269&otracker=browse&fm=organic&iid=123b8e54-6e8f-4941-8769-1f98471a9555.SKIG2QZVEMNR44YX.SEARCH&ppt=None&ppn=None&ssid=utbx982ig00000001658754634852,217,Women Solid Pleated Yellow Skirt,4.1,4983,612,amazing skirt i love it such a lovely plated skirt trust me girls 😉💜,2.9562,0.1370756303
