round neck,0,3,4,8,14,15,17,20,21,23,24,25,27,28,29,30,32,34,37,38,41,42,47,49,50,56,58,59,60,61,63,65,66,67,68,70,71,72,73,74,75,79,80,81,84,85,86,88,89,90,91,92,93,97,98,100,105,106,107,110,111,112,113,115,117,118,119,120,122,123,124,128,129,132,137,138,143,144,147,148,149,151,154,157,158,159,160,161,163,166,168,169,170,171,174,177,178,181,184,186,189,190,191,192,196,197,198,200,203,204,215,216,222,223,228,229,230,232,233,236,239,242,246,248,249,252,254,259,260,261,263,264,268,269,270,271,272,273,274,276,279,280,281,283,288,290,291,294,295,296,299,301,302,306,307,308,309,310,312,313,316,317,318,319,321,322,326,327,329,335,336,337,341,343,348,351,353,356,358,360,361,363,366,367,368,369,372,373,374,376,377,380,381,384,385,386
polo neck,1,2,5,6,7,10,11,16,18,19,26,33,35,39,40,43,44,45,46,48,52,53,54,55,77,78,83,87,95,99,101,102,103,104,109,114,127,130,131,133,135,136,139,140,141,146,150,152,155,156,162,164,173,175,183,187,193,194,195,199,201,202,205,206,209,213,218,220,224,225,227,231,243,244,245,247,250,251,253,255,257,258,262,266,267,275,277,278,282,284,285,286,287,289,293,298,300,303,304,305,311,314,315,320,323,324,328,332,333,334,338,339,340,344,346,349,350,352,354,355,357,362,364,365,370,371,375,378,382
hooded neck,9,22,36,57,62,64,69,76,82,96,121,134,142,145,179,180,188,207,210,214,219,226,234,235,292,325,330,345,347
mandarin collar,12,13,31,51,125,182,185,208,212,221,237,240,241,297,331,359,379
henley neck,94,126,165,342
collared neck,153,167
round or crew,176,211
crew neck,265,383
high neck,238
scoop neck,256
