ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itmeafea80350b9b?pid=TSHGDSZFFZHARSGY&lid=LSTTSHGDSZFFZHARSGYBU0EKG&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&fm=organic&iid=en_okllZ7rIVahF31BScRynkFVJVh%2Flff30bBk4DmyXOyCdNDIhaHIQTBFW%2Bxy5wt1a8M5vX8vbU4fHMiEb6VsS7Q%3D%3D&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,FTX ,Pack of 4 Solid Men Round Neck Multicolor T-Shirt,₹499,"₹1,499",4.2,1103,147,"['Product quantity is excellent', 'Nyc look this clothes', 'Awesome']"
1,http://flipkart.com/louis-philippe-sport-solid-men-polo-neck-light-blue-t-shirt/p/itm4219552f73bd2?pid=TSHG2QYF3SGEJQSE&lid=LSTTSHG2QYF3SGEJQSEB2ZKQX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=browse&fm=organic&iid=en_okllZ7rIVahF31BScRynkFVJVh%2Flff30bBk4DmyXOyAjjg4Qx%2BbDwF6L7Pstb1eoLY%2Bu3m7%2FWCms8%2FUjaa8Pnw%3D%3D&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Louis Philippe Sport ,Solid Men Polo Neck Light Blue T-Shirt,₹659,"₹1,199",4.1,14974,1286,"['The colour is just an awesome combination of maroon and coffee...and the fit is also perfect for me. It is 60% cotton, 40% spandex. Thank you flipkart for fast delivery.', 'Comfortable product', 'Superb 👍🏽']"
2,http://flipkart.com/eyebogler-striped-men-polo-neck-white-blue-yellow-t-shirt/p/itm5e2f30fc1f038?pid=TSHGA4MH4JYR6YAK&lid=LSTTSHGA4MH4JYR6YAK73IUIW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGA4MH4JYR6YAK.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Eyebogler ,"Striped Men Polo Neck White, Blue, Yellow T-Shirt",₹299,"₹1,299",4.1,15561,1650,"['Good exactly same as in the catalog. Fabric soft little thin. Stitching, finishing fitting everything ok. Next bigger size to branded is the right size. No issues. Thanks team. All the recent shopping are for gift purchase in the family function. I hope they will like these items.', 'Good quality product', 'Awasome 🥰🥰']"
3,http://flipkart.com/eyebogler-color-block-men-round-neck-grey-t-shirt/p/itm8398feb09eb95?pid=TSHFZKGHNVJXB2HB&lid=LSTTSHFZKGHNVJXB2HBORB6PA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFZKGHNVJXB2HB.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Eyebogler ,Color Block Men Round Neck Grey T-Shirt,₹355,"₹1,299",3.9,88178,7932,"['Good product', 'Nice t-shirt... 👌', 'Awsome shirt....Thanks flipcart']"
4,http://flipkart.com/tripr-printed-men-round-neck-pink-t-shirt/p/itm0fafa4d9c0f37?pid=TSHGBYH8ZJEMAYEM&lid=LSTTSHGBYH8ZJEMAYEM5QZEM8&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGBYH8ZJEMAYEM.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,TRIPR ,Printed Men Round Neck Pink T-Shirt,₹205,"₹1,399",3.8,15858,1238,"['Perfect 🥰 💞', 'Osm color & design but improvement in quality of product required', 'Good']"
5,http://flipkart.com/eyebogler-striped-men-polo-neck-blue-t-shirt/p/itm186f6204480bb?pid=TSHGB2RYJFJMM7NA&lid=LSTTSHGB2RYJFJMM7NAYOWTUU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGB2RYJFJMM7NA.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Eyebogler ,Striped Men Polo Neck Blue T-Shirt,₹350,"₹1,299",3.8,5018,460,"['Nice 👍', 'Very very nice', 'Value of money 💰']"
6,http://flipkart.com/eyebogler-striped-men-polo-neck-multicolor-t-shirt/p/itm07b4115ef6413?pid=TSHGA4MHWRQHJNZQ&lid=LSTTSHGA4MHWRQHJNZQZFYPZE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGA4MHWRQHJNZQ.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Eyebogler ,Striped Men Polo Neck Multicolor T-Shirt,₹299,"₹1,299",4.1,15561,1650,"['Good exactly same as in the catalog. Fabric soft little thin. Stitching, finishing fitting everything ok. Next bigger size to branded is the right size. No issues. Thanks team. All the recent shopping are for gift purchase in the family function. I hope they will like these items.', 'Good quality product', 'Awasome 🥰🥰']"
7,http://flipkart.com/louis-philippe-sport-solid-men-polo-neck-brown-t-shirt/p/itm936254898637a?pid=TSHG2QYYHEAX3XNJ&lid=LSTTSHG2QYYHEAX3XNJJYQ59U&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=browse&fm=organic&iid=en_okllZ7rIVahF31BScRynkFVJVh%2Flff30bBk4DmyXOyCgKrGZM0zScV%2BM6MfxDiqkq6OytMxECygEYx3N8PHSYg%3D%3D&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,Louis Philippe Sport ,Solid Men Polo Neck Brown T-Shirt,₹659,"₹1,199",4.1,14974,1286,"['The colour is just an awesome combination of maroon and coffee...and the fit is also perfect for me. It is 60% cotton, 40% spandex. Thank you flipkart for fast delivery.', 'Comfortable product', 'Superb 👍🏽']"
8,http://flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQG6BKGUPC8&lid=LSTTSHGBKQG6BKGUPC8UFAIES&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGBKQG6BKGUPC8.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,BLIVE ,Printed Men Round Neck Yellow T-Shirt,₹208,"₹1,999",3.8,30009,2573,"['Nice', 'Quality was osm', 'good']"
9,http://flipkart.com/helmont-color-block-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz?pid=TSHFDFTFFR2QUDWV&lid=LSTTSHFDFTFFR2QUDWVQIYWB1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFDFTFFR2QUDWV.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,HELMONT ,"Color Block Men Hooded Neck Red, Black T-Shirt",₹197,₹999,4,301659,35479,"['Nice', 'Nyc material 👌', 'awesome dress and good quality....I luv this..']"
