,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
9,http://flipkart.com/helmont-color-block-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz?pid=TSHFDFTFFR2QUDWV&lid=LSTTSHFDFTFFR2QUDWVQIYWB1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFDFTFFR2QUDWV.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,9,"Color Block Men Hooded Neck Red, Black T-Shirt",4,301659,35479,nice nyc material 👌 awesome dress and good qualityi luv this,2.2165,0.3033910070
81,http://flipkart.com/fastcolors-solid-men-round-neck-brown-t-shirt/p/itm206d93684e003?pid=TSHG4BM2SXFGQPPB&lid=LSTTSHG4BM2SXFGQPPBYCIS5T&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_3_86&otracker=browse&fm=organic&iid=09a0a7e6-7da8-487f-8f7b-107f233c6e8e.TSHG4BM2SXFGQPPB.SEARCH&ppt=None&ppn=None&ssid=qc4bqvncjk0000001658749324876,81,Solid Men Round Neck Brown T-Shirt,4,163245,18182,looking good nice nice dress,1.2834,0.1360499680
159,http://flipkart.com/roden-striped-men-round-neck-yellow-t-shirt/p/itm3744da595cc60?pid=TSHFKAZFH6ETFP69&lid=LSTTSHFKAZFH6ETFP69UPZJQK&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_165&otracker=browse&fm=organic&iid=5f36eec8-b866-4818-acfd-fc96b59362fd.TSHFKAZFH6ETFP69.SEARCH&ppt=None&ppn=None&ssid=wi9d7ehkmo0000001658749327073,159,Striped Men Round Neck Yellow T-Shirt,4,78734,8405,best h nice t shart  i really  like it is too good nd better price😚🤗☺😍,3.2104,0.0886384110
362,http://flipkart.com/allen-solly-solid-men-polo-neck-green-t-shirt/p/itm23d485f958d7f?pid=TSHFKZ284D46YWJN&lid=LSTTSHFKZ284D46YWJN4JNZ1B&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_376&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHFKZ284D46YWJN.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,362,Solid Men Polo Neck Green T-Shirt,4.2,86977,8030,nice good one amazing product in perfect prize,2.5303,0.0867432310
374,http://flipkart.com/fastcolors-solid-men-round-neck-multicolor-t-shirt/p/itmfc62e9c8a0dfa?pid=TSHFGSJ2DUKDASAH&lid=LSTTSHFGSJ2DUKDASAHFQMYLS&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_388&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHFGSJ2DUKDASAH.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,374,Solid Men Round Neck Multicolor T-Shirt,3.9,70993,8765,nice one👌 nice product i impressed perfect,2.6213,0.0768329760
121,http://flipkart.com/tripr-solid-men-hooded-neck-black-t-shirt/p/itmf576fcc675f38?pid=TSHFZFK36YNXPCWF&lid=LSTTSHFZFK36YNXPCWFU2IJT6&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_4_126&otracker=browse&fm=organic&iid=86087765-cb1b-47a5-9a71-2e15fca4f9dd.TSHFZFK36YNXPCWF.SEARCH&ppt=None&ppn=None&ssid=p44ro0e34g0000001658749325968,121,Solid Men Hooded Neck Black T-Shirt,4.1,84409,9685,good product this product is really awesome very good product,1.5057,0.0753483490
37,http://flipkart.com/fastcolors-solid-men-round-neck-black-t-shirt/p/itm8a14900e354e9?pid=TSHGAKZAZXUPQ3Z9&lid=LSTTSHGAKZAZXUPQ3Z9WYCWLM&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_40&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHGAKZAZXUPQ3Z9.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,37,Solid Men Round Neck Black T-Shirt,3.9,88664,9477,good product tq flipkart good product very comfortable,1.3914,0.0732597450
3,http://flipkart.com/eyebogler-color-block-men-round-neck-grey-t-shirt/p/itm8398feb09eb95?pid=TSHFZKGHNVJXB2HB&lid=LSTTSHFZKGHNVJXB2HBORB6PA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFZKGHNVJXB2HB.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,3,Color Block Men Round Neck Grey T-Shirt,3.9,88178,7932,good product nice tshirt 👌 awsome shirtthanks flipcart,1.5916,0.0721418290
65,http://flipkart.com/maniac-color-block-men-round-neck-pink-black-t-shirt/p/itm17bb996884835?pid=TSHFSTFZKGEU2GCR&lid=LSTTSHFSTFZKGEU2GCRWT3GKX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_2_70&otracker=browse&fm=organic&iid=03790674-8250-4bfa-858b-0333696289cd.TSHFSTFZKGEU2GCR.SEARCH&ppt=None&ppn=None&ssid=69maj2m9v40000001658749323857,65,"Pack of 2 Color Block Men Round Neck Pink, Black T-Shirt",4,81830,10030,best quality t shirt colour is so superthanks flipkart its nyc i like it nice tshirt,1.4196,0.0719176940
32,http://flipkart.com/reya-striped-men-round-neck-blue-t-shirt/p/itm89a5018480b93?pid=TSHFURHKZYPSPGQR&lid=LSTTSHFURHKZYPSPGQRVEMJSX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_35&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFURHKZYPSPGQR.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,32,Striped Men Round Neck Blue T-Shirt,3.9,66421,7326,good product im happy 😊 nice very good product,2.5926,0.0682220070
