Rating,Bigram,Count
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 3 to 4,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 4 to 5,Solid Aline,1
Rating 3 to 4,Solid Flared,1
Rating 4 to 5,Solid Flared,1
Rating 4 to 5,Solid Flared,1
Rating 3 to 4,Solid Flared,1
Rating 4 to 5,Solid Flared,1
Rating 4 to 5,Solid Flared,1
Rating 4 to 5,Solid Flared,1
