Rating,Bigram,Count
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 4 to 5,blue tshirt,1
Rating 3 to 4,blue tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,green tshirt,1
Rating 3 to 4,green tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,white tshirt,1
Rating 4 to 5,white tshirt,1
Rating 3 to 4,red white black tshirt,1
Rating 4 to 5,maroon beige tshirt,1
Rating 4 to 5,grey blue tshirt,1
Rating 4 to 5,blue black tshirt,1
Rating 3 to 4,navy blue tshirt,1
