Rating,Bigram,Count
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
